Price,Close,High,Low,Open,Volume
Ticker,ITC.BO,ITC.BO,ITC.BO,ITC.BO,ITC.BO
Date,,,,,
2019-08-16,207.18942260742188,207.5990497873502,202.68352362821014,203.87145245066588,265391
2019-08-19,206.12437438964844,210.9170167545563,205.63281683910432,207.51710411508637,1086902
2019-08-20,201.98715209960938,206.57496872305003,201.16789779176332,206.4520855772046,478390
2019-08-21,197.93182373046875,203.74852116781997,197.31738306802004,203.74852116781997,510563
2019-08-22,196.70297241210938,201.53656802706087,195.76082241880243,198.2595506607672,397084
2019-08-23,193.34400939941406,197.563163926231,192.2789763389974,196.17043415529918,626466
2019-08-26,198.71011352539062,199.8980296440113,192.48377645418066,199.8980296440113,331394
2019-08-27,201.1678924560547,201.8232983851135,198.83301274029154,200.30767295546676,700595
2019-08-28,201.37269592285156,202.80639085161357,199.16071196149858,202.35579851669425,221052
2019-08-29,197.76795959472656,201.0859416168886,196.907752682278,200.30765262423998,199982
2019-08-30,201.1678924560547,202.39677388522932,195.92465752441254,198.0137584541751,564928
2019-09-03,197.84991455078125,200.59442147138233,197.15354339157543,200.59442147138233,281528
2019-09-04,199.20167541503906,200.30767370577036,197.64509726591862,198.25953798280747,177012
2019-09-05,200.18478393554688,202.23291959070562,198.3824145583448,198.5053101981511,326352
2019-09-06,199.85708618164062,201.37271165363163,199.32457588111876,201.37271165363163,211351
2019-09-09,201.1269073486328,201.98712676413862,199.28358538718913,200.10283959227522,380356
2019-09-11,199.61131286621094,201.1679035965316,199.0788025510767,201.1269383797915,1308045
2019-09-12,197.27642822265625,200.67632839985137,196.66198752792258,200.67632839985137,493004
2019-09-13,196.58006286621094,198.54628064751353,195.47407708375476,198.25953664789805,396393
2019-09-16,196.08851623535156,197.481246006335,195.22829674418207,197.19450200900243,232996
2019-09-17,194.28614807128906,196.66199299075166,194.04038178723113,196.5390973478944,609621
2019-09-18,196.29331970214844,198.5053036364358,191.78742140974444,194.98250792584534,1144459
2019-09-19,193.95846557617188,196.94873892580017,193.46690797036732,196.94873892580017,223546
2019-09-20,195.1053924560547,203.5027484246793,192.03318905289933,194.16325507941812,1799183
2019-09-23,208.6640625,213.25187896495623,204.07624603504374,204.07624603504374,2784432
2019-09-24,209.72909545898438,211.3676040172577,208.0086564724661,209.2375378911711,759597
2019-09-25,203.8304901123047,209.892979961395,198.87399866497864,209.56527071232466,742458
2019-09-26,205.100341796875,205.8786309681958,201.5365801955246,203.0522058192782,775671
2019-09-27,207.18942260742188,211.44955527934016,204.89552040048673,205.30514758041508,958882
2019-09-30,212.7603302001953,213.62053712756395,204.40392718438045,209.23752206536355,821293
2019-10-01,209.64715576171875,215.0132860538078,208.86886673111465,212.76033688579048,701886
2019-10-03,214.31692504882812,214.7265521895936,209.8929569288923,210.54835035345445,330184
2019-10-04,210.75315856933594,216.28312482917272,208.9917669091265,215.545800994859,529529
2019-10-07,206.1653289794922,211.53145936919157,205.46897036084388,210.95797138805688,332668
2019-10-09,202.437744140625,207.14845640309642,201.94618655638348,207.14845640309642,358764
2019-10-10,199.03782653808594,202.64255290159306,198.71012982359818,202.47869204352082,423542
2019-10-11,199.97996520996094,201.70039161540544,197.6450856229955,199.0787805446131,320849
2019-10-14,200.06187438964844,202.35578866414423,199.1607022645149,202.35578866414423,321307
2019-10-15,202.76541137695312,204.15814099533654,200.79920632756796,202.68348095788423,364184
2019-10-16,199.65225219726562,202.76542075344358,198.42337085936595,202.35579364081033,433631
2019-10-17,201.41368103027344,202.0281217747211,199.07880120104076,199.07880120104076,523008
2019-10-18,201.94618225097656,202.97025011228982,200.71730081740063,201.94618225097656,398307
2019-10-22,203.87142944335938,205.6328211179428,200.75826072706553,201.45461935386055,2284576
2019-10-23,205.63282775878906,206.4111168377901,204.07624960078698,204.81357346492933,462274
2019-10-24,203.953369140625,208.04964091489273,203.21604522158856,207.1075034071429,608556
2019-10-25,203.0522003173828,210.83511682136498,202.3967943221447,209.48333961228084,1381317
2019-10-27,205.2231903076172,205.71474785958333,204.40393605489217,205.38703865799664,223197
2019-10-29,207.4761505126953,208.90984553104565,204.52683004604327,205.63282834624493,517813
2019-10-30,212.51455688476562,216.24217888875575,208.45925066738607,208.90984302505677,1070348
2019-10-31,210.99893188476562,215.25906418325098,210.05679445384771,213.00611489113322,537623
2019-11-01,214.0711212158203,215.3819329897693,212.18684647940654,212.43261274879788,427858
2019-11-04,213.3337860107422,217.06140757509996,212.8832062070408,215.46385190442467,504663
2019-11-05,215.38194274902344,216.16024430678706,211.85915938596503,214.48075805099614,586976
2019-11-06,214.03016662597656,216.11925490242942,212.96514613242311,215.91444134584953,494101
2019-11-07,217.83970642089844,218.0854977040523,214.5626893254305,215.87350116394893,460301
2019-11-08,213.37478637695312,217.38912733263575,213.00611195175867,217.10238333544635,401160
2019-11-11,212.47360229492188,214.9313651323376,212.02299744040175,213.82536685516922,385579
2019-11-13,208.04965209960938,212.84228283265608,207.47617652054782,212.84228283265608,416639
2019-11-14,208.04965209960938,209.68816089740244,207.47617652054782,208.90987171861676,336734
2019-11-15,205.3460693359375,209.56523615353672,204.9364422177722,208.5821335701055,399237
2019-11-18,205.4280242919922,206.6159405763663,203.78951562366123,205.63283787553357,359965
2019-11-19,204.2810516357422,206.24725682961596,203.8714245119495,205.67378135647175,263823
2019-11-20,205.3051300048828,206.00148865065023,202.19196120377023,205.50994357731355,308875
2019-11-21,201.290771484375,206.04244874689445,200.79922642324905,206.04244874689445,484898
2019-11-22,202.88832092285156,206.9845923931359,202.0690666287947,202.8473682088115,571193
2019-11-25,203.01119995117188,204.73162632737885,201.82328382218498,204.73162632737885,270669
2019-11-26,204.07626342773438,205.10033136444355,202.84738190368338,203.83048462275832,343925
2019-11-27,202.3148651123047,204.81359345259224,201.98716836311243,204.81359345259224,419559
2019-11-28,202.02810668945312,203.175057659782,201.33173556407831,203.175057659782,306587
2019-11-29,201.82330322265625,202.7244754584877,200.75827012501122,202.68351024303428,300951
2019-12-02,200.67633056640625,202.19195596344358,200.38959907293167,201.74136361560858,347309
2019-12-03,199.97996520996094,201.331729707155,198.79203655995852,201.00403301111635,283528
2019-12-04,199.20167541503906,200.30767370577036,198.42338634047883,200.30767370577036,278148
2019-12-05,202.2738494873047,202.6834765721318,199.20164635110123,199.85705218698996,469272
2019-12-06,199.32456970214844,202.47869119354473,198.75109420378806,202.47869119354473,263656
2019-12-09,197.72703552246094,199.32457894944724,197.31740836165272,199.32457894944724,294791
2019-12-10,192.85244750976562,198.5462746087507,192.5247508065962,198.5462746087507,507446
2019-12-11,194.69577026367188,195.59695495173884,193.0163090280994,193.3440057323994,1449596
2019-12-12,195.5150146484375,196.66197805720242,194.7367256394208,195.43309672691473,257061
2019-12-13,197.97279357910156,198.628199509284,196.0475535039244,196.6210290050234,268926
2019-12-16,194.0813446044922,199.6522765150117,193.8355783076397,199.6522765150117,1370624
2019-12-17,197.52220153808594,197.97278136776714,194.28613730132213,194.98250840309277,526427
2019-12-18,200.88113403320312,202.5196424877983,196.5390841283604,198.25952300601634,439245
2019-12-19,200.18478393554688,203.09312656520993,199.3655296734834,201.45461804108294,287285
2019-12-20,197.64508056640625,200.71728389127264,196.7438959241145,200.30765678129046,375961
2019-12-23,195.7607879638672,199.07876996342296,195.5559744145221,199.07876996342296,298971
2019-12-24,195.55599975585938,196.78488121117581,195.14637260408722,196.37525405940366,210102
2019-12-26,193.99940490722656,196.21138883653347,193.6716957134749,196.17042362471105,242592
2019-12-27,194.12229919433594,195.3102154004671,193.8765204101089,194.16326440851182,204533
2019-12-30,195.1053924560547,197.44027204278382,194.4909517754236,194.65481262425402,307691
2019-12-31,194.69577026367188,195.80176851713333,194.57288712476637,195.80176851713333,166737
2020-01-01,195.1053924560547,195.71983313668576,194.32710342742087,195.71983313668576,125205
2020-01-02,196.4571990966797,197.11260508841028,195.2692827683846,195.59697951383515,192171
2020-01-03,195.35118103027344,197.19450316465586,194.90058867503652,197.19450316465586,216996
2020-01-06,192.606689453125,195.35118383657883,192.52475902342195,195.35118383657883,260845
2020-01-07,192.7705535888672,194.9006074263662,192.27899597207463,193.83558675803144,186355
2020-01-08,191.8693389892578,193.18015076321424,191.58260750802376,192.36089652969835,191885
2020-01-09,193.18016052246094,193.83556644254955,192.56571981628315,193.34400887727605,358421
2020-01-10,194.98251342773438,195.63791933437975,194.08132874349351,194.16325916963467,259573
2020-01-13,195.9246368408203,197.03063501064958,195.1873130614855,195.76078850106003,260804
2020-01-14,199.32456970214844,199.65226641526058,195.26926349845132,196.62102806607425,870308
2020-01-15,198.5872344970703,199.48841921459285,197.52221392287072,199.48841921459285,175383
2020-01-16,197.23545837402344,199.73418630738013,196.94871438955568,199.32455918718483,190776
2020-01-17,196.49813842773438,198.34146050491452,196.12946401163603,197.84990295066865,244164
2020-01-20,198.1776123046875,199.28361062193412,196.825847695456,197.44028842707553,272753
2020-01-21,195.2283172607422,198.1776254679158,194.94157323327568,198.1776254679158,927237
2020-01-22,194.94155883789062,196.58006744337965,194.20423496575202,196.58006744337965,231739
2020-01-23,194.9005889892578,195.63792534469647,194.16326513464742,194.98251941791597,238087
2020-01-24,195.06443786621094,195.883692099163,194.2042184214458,194.90057701895853,271202
2020-01-27,192.23800659179688,194.69576936518865,191.86934467595367,194.69576936518865,318465
2020-01-28,189.04293823242188,193.22114035078323,188.83812464820474,192.23802514587766,490403
2020-01-29,194.04039001464844,194.6548307525025,189.4115956223171,189.4115956223171,548653
2020-01-30,191.58261108398438,195.31020791539666,190.8862399721668,195.31020791539666,213699
2020-01-31,192.7295684814453,195.26926173806768,191.7874310641202,193.46689232971468,418235
2020-02-03,170.1591033935547,176.9179508833149,167.94711944252597,176.7131373230191,2806638
2020-02-04,176.71315002441406,178.26974069503962,171.42896228914378,173.23131924912678,1314665
2020-02-05,177.40951538085938,178.18780444031813,173.2722788005852,177.3685501670293,781563
2020-02-06,174.91079711914062,180.0721018293794,173.55903249302446,177.81915245196657,975338
2020-02-07,174.91079711914062,176.59027097337776,174.33732159596494,175.8938998018459,368987
2020-02-10,172.6168670654297,175.4842569253233,172.20723994258773,174.95174666595986,510148
2020-02-11,174.25540161132812,177.7781978946601,173.55904289887445,177.7781978946601,833023
2020-02-12,174.50115966796875,175.97581985546933,173.55902225694712,175.03366994361957,359708
2020-02-13,173.6409454345703,175.15657088160734,173.14940035775746,175.15657088160734,246601
2020-02-14,170.2000732421875,174.41922769888285,169.4627494053684,174.33730977302963,572912
2020-02-17,167.7423095703125,171.06029182022053,167.2917172275893,171.06029182022053,485376
2020-02-18,167.04592895507812,167.90614837850583,164.09662129010377,167.90614837850583,423637
2020-02-19,169.33985900878906,169.7494861532229,167.04594449979382,167.41461893044698,345066
2020-02-20,169.91334533691406,170.89646054685753,168.3567670892189,169.58564860081904,266563
2020-02-24,166.30860900878906,170.28199703223646,165.2845412193261,169.9952530508558,608147
2020-02-25,165.2845458984375,168.27481892799136,165.03876712184302,166.3905441426987,851925
2020-02-26,162.66293334960938,165.3664748666632,160.86057650518276,164.58817333083618,537200
2020-02-27,161.80271911621094,163.27737930958762,160.5328724913358,163.03160052722015,537109
